qacver	saccver	bitscore	evalue	qlen	slen	length	qcovs	pident	taxid	protein	species	a	b	c	d	e	f	g	h	I	j	k	l	m	n	o	p
WP_002854338.1	PYU92871.1	64.5	5.95E-07	820	399	167	19	22.156	1978231	hypothetical protein DMG08_11590 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)											
WP_002854338.1	PQM68506.1	64.9	5.95E-07	820	494	392	63	16.327	1948890	hypothetical protein CML70_06050 [Rhodobacterales bacterium]	Rhodobacterales bacterium	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	unclassified Rhodobacterales										
WP_002854338.1	PQM68506.1	63	2.04E-06	820	494	504	63	17.063	1948890	hypothetical protein CML70_06050 [Rhodobacterales bacterium]	Rhodobacterales bacterium	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	unclassified Rhodobacterales										
WP_002854338.1	TKJ46299.1	64.5	5.99E-07	820	407	261	45	19.157	2012486	hypothetical protein CEE35_00635 [Candidatus Aerophobetes bacterium Ae_b3b]	Candidatus Aerophobetes bacterium Ae_b3b	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes										
WP_002854338.1	TKJ46299.1	56.8	0.000142	820	407	269	45	21.933	2012486	hypothetical protein CEE35_00635 [Candidatus Aerophobetes bacterium Ae_b3b]	Candidatus Aerophobetes bacterium Ae_b3b	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes										
WP_002854338.1	WP_015694256.1	64.9	6.05E-07	820	614	369	43	20.054	1008;984262	tetratricopeptide repeat protein [Saprospira grandis]	Saprospira grandis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Saprospiria	Saprospirales	Saprospiraceae	Saprospira							
WP_002854338.1	WP_096667321.1	65.3	6.1E-07	820	1150	487	82	14.99	136073;1973481	serine protease [Dolichospermum compactum]	Dolichospermum compactum	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Aphanizomenonaceae	Dolichospermum								
WP_002854338.1	WP_096667321.1	63	3.18E-06	820	1150	460	82	16.304	136073;1973481	serine protease [Dolichospermum compactum]	Dolichospermum compactum	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Aphanizomenonaceae	Dolichospermum								
WP_002854338.1	KKT76923.1	64.9	6.2E-07	820	493	441	50	17.46	1619057	hypothetical protein UW70_C0008G0006 [Candidatus Peregrinibacteria bacterium GW2011_GWA2_44_7]	Candidatus Peregrinibacteria bacterium GW2011_GWA2_44_7	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Peregrinibacteria	unclassified Candidatus Peregrinibacteria										
WP_002854338.1	PON18803.1	64.9	6.23E-07	820	617	411	47	18.735	1652106	hypothetical protein C2W62_06025 [Candidatus Entotheonella serta]	Candidatus Entotheonella serta	cellular organisms	Bacteria	Nitrospinae/Tectomicrobia group	Candidatus Tectomicrobia	Candidatus Entotheonella											
WP_002854338.1	RIK02561.1	63.8	6.25E-07	820	324	250	29	20.4	2172549	hypothetical protein DCC43_02705 [Candidatus Brocadia sp.]	Candidatus Brocadia sp.	cellular organisms	Bacteria	PVC group	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Brocadia								
WP_002854338.1	RKZ19775.1	64.9	6.31E-07	820	531	237	28	21.941	1869227	hypothetical protein DRQ17_00275 [bacterium]	bacterium	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)												
WP_002854338.1	OBQ42572.1	65.3	6.32E-07	820	1158	454	54	15.639	1710896	hypothetical protein AN484_16980 [Aphanizomenon flos-aquae WA102]	Aphanizomenon flos-aquae WA102	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Aphanizomenonaceae	Aphanizomenon	Aphanizomenon flos-aquae							
WP_002854338.1	ACF09516.1	63	6.37E-07	820	272	284	33	17.254	526690;2026795	TPR-repeat protein [uncultured marine crenarchaeote SAT1000-23-F7]	uncultured marine crenarchaeote SAT1000-23-F7	cellular organisms	Archaea	TACK group	Thaumarchaeota	Nitrosopumilales	environmental samples										
WP_002854338.1	WP_012980223.1	64.9	6.4E-07	820	566	345	50	16.812	644281	tetratricopeptide repeat protein [Methanocaldococcus sp. FS406-22]	Methanocaldococcus sp. FS406-22	cellular organisms	Archaea	Euryarchaeota	Methanomada group	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus								
WP_002854338.1	WP_012980223.1	55.7	0.000492	820	566	311	50	19.293	644281	tetratricopeptide repeat protein [Methanocaldococcus sp. FS406-22]	Methanocaldococcus sp. FS406-22	cellular organisms	Archaea	Euryarchaeota	Methanomada group	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus								
WP_002854338.1	PJE68874.1	64.5	6.44E-07	820	479	231	27	18.182	1974483	hypothetical protein COU96_02825, partial [Candidatus Shapirobacteria bacterium CG10_big_fil_rev_8_21_14_0_10_38_14]	Candidatus Shapirobacteria bacterium CG10_big_fil_rev_8_21_14_0_10_38_14	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Patescibacteria group	Microgenomates group	Candidatus Shapirobacteria									
WP_002854338.1	RKY60564.1	65.3	6.45E-07	820	1140	226	25	19.469	2053570	hypothetical protein DRP94_00120 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria											
WP_002854338.1	WP_133811304.1	65.3	6.51E-07	820	1025	237	27	24.473	2135605	tetratricopeptide repeat protein [Chitinophaga sp. OK723]	Chitinophaga sp. OK723	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga							
WP_002854338.1	OHC05195.1	64.9	6.54E-07	820	670	401	46	15.212	1801984	hypothetical protein A3G17_02970 [Planctomycetes bacterium RIFCSPLOWO2_12_FULL_50_35]	Planctomycetes bacterium RIFCSPLOWO2_12_FULL_50_35	cellular organisms	Bacteria	PVC group	Planctomycetes	unclassified Planctomycetes											
WP_002854338.1	WP_017710740.1	64.9	6.62E-07	820	583	412	47	19.175	1223	tetratricopeptide repeat protein [Prochlorothrix hollandica]	Prochlorothrix hollandica	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Synechococcales	Prochlorotrichaceae	Prochlorothrix								
WP_002854338.1	TAJ26019.1	64.9	6.65E-07	820	621	405	46	18.025	2026887	tetratricopeptide repeat protein [Nitrospirae bacterium]	Nitrospirae bacterium	cellular organisms	Bacteria	Nitrospirae	unclassified Nitrospirae												
WP_002854338.1	WP_053827242.1	65.3	6.67E-07	820	996	220	24	25	1627894	tetratricopeptide repeat protein [Lascolabacillus massiliensis]	Lascolabacillus massiliensis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Lascolabacillus							
WP_002854338.1	XP_001030067.1	65.7	6.87E-07	820	2406	687	81	16.012	312017	SLEI family protein [Tetrahymena thermophila SB210]	Tetrahymena thermophila SB210	cellular organisms	Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Hymenostomatida	Tetrahymenina	Tetrahymenidae	Tetrahymena	Tetrahymena thermophila					
WP_002854338.1	XP_001030067.1	55.3	0.000891	820	2406	408	81	15.441	312017	SLEI family protein [Tetrahymena thermophila SB210]	Tetrahymena thermophila SB210	cellular organisms	Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Hymenostomatida	Tetrahymenina	Tetrahymenidae	Tetrahymena	Tetrahymena thermophila					
WP_002854338.1	TAM78964.1	65.3	6.88E-07	820	905	241	29	19.502	1978231	tetratricopeptide repeat protein [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)											
WP_002854338.1	TAH61042.1	65.3	6.9E-07	820	996	220	24	25	1562970	tetratricopeptide repeat protein [Fermentimonas caenicola]	Fermentimonas caenicola	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Fermentimonas							
WP_002854338.1	AEB67161.1	62.6	6.93E-07	820	261	232	27	18.534	990316	TPR-repeat protein [Methanothrix soehngenii GP6]	Methanothrix soehngenii GP6	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix	Methanothrix soehngenii							
WP_002854338.1	WP_018397379.1	63.4	6.93E-07	820	307	226	27	19.912	1128427	tetratricopeptide repeat protein [filamentous cyanobacterium ESFC-1]	filamentous cyanobacterium ESFC-1	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	unclassified Oscillatoriales	unclassified Oscillatoriales (miscellaneous)							
WP_002854338.1	RLC03698.1	64.9	6.95E-07	820	768	522	60	18.774	2026735	hypothetical protein DRI57_28885 [Deltaproteobacteria bacterium]	Deltaproteobacteria bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)									
WP_002854338.1	WP_045090779.1	65.3	6.96E-07	820	996	220	24	25	1562970	tetratricopeptide repeat protein [Fermentimonas caenicola]	Fermentimonas caenicola	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Fermentimonas							
WP_002854338.1	EGJ33330.1	65.3	6.99E-07	820	1351	509	56	16.503	489825	hemagglutination activity domain protein [Moorea producens 3L]	Moorea producens 3L	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Oscillatoriaceae	Moorea	Moorea producens						
WP_002854338.1	RLC59790.1	62.6	6.99E-07	820	258	210	23	20.476	2026724	hypothetical protein DRI80_11995 [Chloroflexi bacterium]	Chloroflexi bacterium	cellular organisms	Bacteria	Terrabacteria group	Chloroflexi	unclassified Chloroflexi	unclassified Chloroflexi (miscellaneous)										
WP_002854338.1	TKB64770.1	64.9	7.02E-07	820	609	462	55	16.667	70125	tetratricopeptide repeat protein [Nitrospira sp.]	Nitrospira sp.	cellular organisms	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira									
WP_002854338.1	TKB64770.1	56.5	0.000323	820	609	251	55	17.928	70125	tetratricopeptide repeat protein [Nitrospira sp.]	Nitrospira sp.	cellular organisms	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira									
WP_002854338.1	OGW99907.1	64.9	7.08E-07	820	588	399	65	18.045	1801831	hypothetical protein A3I73_01010 [Omnitrophica bacterium RIFCSPLOWO2_02_FULL_45_16]	Omnitrophica bacterium RIFCSPLOWO2_02_FULL_45_16	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica											
WP_002854338.1	OGW99907.1	63	2.67E-06	820	588	535	65	17.009	1801831	hypothetical protein A3I73_01010 [Omnitrophica bacterium RIFCSPLOWO2_02_FULL_45_16]	Omnitrophica bacterium RIFCSPLOWO2_02_FULL_45_16	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica											
WP_002854338.1	OGW99907.1	55.3	0.000614	820	588	235	65	18.298	1801831	hypothetical protein A3I73_01010 [Omnitrophica bacterium RIFCSPLOWO2_02_FULL_45_16]	Omnitrophica bacterium RIFCSPLOWO2_02_FULL_45_16	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica											
WP_002854338.1	WP_009988638.1	63.4	7.13E-07	820	302	240	28	17.5	2287;273057;555311	tetratricopeptide repeat protein [Saccharolobus solfataricus]	Saccharolobus solfataricus	cellular organisms	Archaea	TACK group	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus								
WP_002854338.1	XP_027069844.1	65.3	7.15E-07	820	1078	264	30	15.53	13443	LOW QUALITY PROTEIN: protein CTR9 homolog [Coffea arabica]	Coffea arabica	cellular organisms	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Embryophyta	Tracheophyta	Euphyllophyta	Spermatophyta	Magnoliopsida	Mesangiospermae	eudicotyledons	Gunneridae	Pentapetalae	asterids	lamiids
WP_002854338.1	RTL58695.1	65.3	7.16E-07	820	1254	403	49	18.362	2044944	tetratricopeptide repeat protein [Sphingobacteriales bacterium]	Sphingobacteriales bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	unclassified Sphingobacteriales	unclassified Sphingobacteriales (miscellaneous)							
WP_002854338.1	RTL58695.1	56.8	0.000273	820	1254	443	49	16.027	2044944	tetratricopeptide repeat protein [Sphingobacteriales bacterium]	Sphingobacteriales bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	unclassified Sphingobacteriales	unclassified Sphingobacteriales (miscellaneous)							
WP_002854338.1	TKB78707.1	64.9	7.2E-07	820	615	371	44	16.173	70125	tetratricopeptide repeat protein [Nitrospira sp.]	Nitrospira sp.	cellular organisms	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira									
WP_002854338.1	XP_027047149.1	64.9	7.25E-07	820	855	380	43	17.368	46731	transmembrane and TPR repeat-containing protein 2-like isoform X1 [Pocillopora damicornis]	Pocillopora damicornis	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Cnidaria	Anthozoa	Hexacorallia	Scleractinia	Astrocoeniina	Pocilloporidae	Pocillopora				
WP_002854338.1	OGW93332.1	64.9	7.26E-07	820	588	399	47	17.794	1801828	hypothetical protein A3K16_04060 [Omnitrophica bacterium RIFCSPLOWO2_01_FULL_45_24]	Omnitrophica bacterium RIFCSPLOWO2_01_FULL_45_24	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica											
WP_002854338.1	OGW93332.1	63.4	1.97E-06	820	588	385	47	18.961	1801828	hypothetical protein A3K16_04060 [Omnitrophica bacterium RIFCSPLOWO2_01_FULL_45_24]	Omnitrophica bacterium RIFCSPLOWO2_01_FULL_45_24	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica											
WP_002854338.1	OGW93332.1	55.3	0.000614	820	588	235	47	18.298	1801828	hypothetical protein A3K16_04060 [Omnitrophica bacterium RIFCSPLOWO2_01_FULL_45_24]	Omnitrophica bacterium RIFCSPLOWO2_01_FULL_45_24	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica											
WP_002854338.1	PYX73827.1	64.9	7.28E-07	820	879	190	22	17.895	1978231	hypothetical protein DMG78_07850 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)											
WP_002854338.1	PJF43256.1	65.3	7.32E-07	820	1278	421	47	21.14	2364210	hypothetical protein CUN50_00730 [Candidatus Thermofonsia Clade 1 bacterium]	Candidatus Thermofonsia Clade 1 bacterium	cellular organisms	Bacteria	Terrabacteria group	Chloroflexi	Candidatus Thermofonsia	Candidatus Thermofonsia Clade 1										
WP_002854338.1	PJF43256.1	56.5	0.000399	820	1278	445	47	17.528	2364210	hypothetical protein CUN50_00730 [Candidatus Thermofonsia Clade 1 bacterium]	Candidatus Thermofonsia Clade 1 bacterium	cellular organisms	Bacteria	Terrabacteria group	Chloroflexi	Candidatus Thermofonsia	Candidatus Thermofonsia Clade 1										
WP_002854338.1	GBG34740.1	64.2	7.44E-07	820	427	285	29	22.105	2315210	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit [Hondaea fermentalgiana]	Hondaea fermentalgiana	cellular organisms	Eukaryota	Stramenopiles	Labyrinthulomycetes	Thraustochytriaceae	Hondaea										
WP_002854338.1	WP_131764388.1	64.5	7.45E-07	820	570	454	54	16.52	96228;1212489	tetratricopeptide repeat protein [Legionella drozanskii]	Legionella drozanskii	cellular organisms	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella									
WP_002854338.1	WP_099073060.1	64.9	7.52E-07	820	784	408	79	15.686	92942;1612423;1628741;1628743;1628744;1628746;1628747;1628748;1628749;1628751;1628752	tetratricopeptide repeat protein [Nostoc linckia]	Nostoc linckia	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Nostocaceae	Nostoc								
WP_002854338.1	WP_099073060.1	61.9	7.91E-06	820	784	457	79	17.505	92942;1612423;1628741;1628743;1628744;1628746;1628747;1628748;1628749;1628751;1628752	tetratricopeptide repeat protein [Nostoc linckia]	Nostoc linckia	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Nostocaceae	Nostoc								
WP_002854338.1	WP_099073060.1	55.7	0.00053	820	784	518	79	14.672	92942;1612423;1628741;1628743;1628744;1628746;1628747;1628748;1628749;1628751;1628752	tetratricopeptide repeat protein [Nostoc linckia]	Nostoc linckia	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Nostocaceae	Nostoc								
WP_002854338.1	PYV92524.1	64.5	7.6E-07	820	544	469	49	17.697	1978231	hypothetical protein DMG05_04075 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)											
WP_002854338.1	CEA15091.1	64.9	7.61E-07	820	1009	220	24	25	1562970	hypothetical protein ING2E5B_0322 [Fermentimonas caenicola]	Fermentimonas caenicola	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Fermentimonas							
WP_002854338.1	WP_015067608.1	64.9	7.66E-07	820	937	649	72	15.562	314275;1004786;1300258;1300259	PEP-CTERM system TPR-repeat protein PrsT [Alteromonas mediterranea]	Alteromonas mediterranea	cellular organisms	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas									
WP_002854338.1	TFG63818.1	64.9	7.72E-07	820	639	565	66	16.814	2026792	tetratricopeptide repeat protein [Spirochaetales bacterium]	Spirochaetales bacterium	cellular organisms	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	unclassified Spirochaetales	unclassified Spirochaetales (miscellaneous)									
WP_002854338.1	WP_121634417.1	65.3	7.73E-07	820	1391	534	59	14.981	2478977	tetratricopeptide repeat protein [Planomicrobium sp. Y74]	Planomicrobium sp. Y74	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium								
WP_002854338.1	RKY67855.1	63.8	7.73E-07	820	341	243	29	22.634	2053570	hypothetical protein DRQ02_06045 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria											
WP_002854338.1	OGM04878.1	65.3	7.74E-07	820	1643	673	84	17.682	1817813	hypothetical protein A2008_10780, partial [Candidatus Wallbacteria bacterium GWC2_49_35]	Candidatus Wallbacteria bacterium GWC2_49_35	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Wallbacteria											
WP_002854338.1	OGM04878.1	59.2	6.45E-05	820	1643	714	84	17.507	1817813	hypothetical protein A2008_10780, partial [Candidatus Wallbacteria bacterium GWC2_49_35]	Candidatus Wallbacteria bacterium GWC2_49_35	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Wallbacteria											
WP_002854338.1	OGM04878.1	56.1	0.000529	820	1643	662	84	16.163	1817813	hypothetical protein A2008_10780, partial [Candidatus Wallbacteria bacterium GWC2_49_35]	Candidatus Wallbacteria bacterium GWC2_49_35	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Wallbacteria											
WP_002854338.1	WP_052562383.1	62.2	7.78E-07	820	244	191	23	20.419	795830;1197129;2172549	tetratricopeptide repeat protein [Candidatus Brocadia sinica]	Candidatus Brocadia sinica	cellular organisms	Bacteria	PVC group	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Brocadia								
WP_002854338.1	WP_109853240.1	64.9	7.82E-07	820	819	635	73	15.433	1874112	tetratricopeptide repeat protein [Aquimarina sp. AU58]	Aquimarina sp. AU58	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aquimarina							
WP_002854338.1	WP_089783204.1	64.9	7.85E-07	820	1023	234	27	23.932	1881040	tetratricopeptide repeat protein [Chitinophaga sp. YR573]	Chitinophaga sp. YR573	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga							
WP_002854338.1	PYS61333.1	65.3	7.85E-07	820	1174	163	19	22.086	1978231	hypothetical protein DMF76_11320 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)											
WP_002854338.1	WP_013886925.1	64.5	7.87E-07	820	544	465	54	18.925	2352;717231	tetratricopeptide repeat protein [Flexistipes sinusarabici]	Flexistipes sinusarabici	cellular organisms	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Flexistipes									
WP_002854338.1	WP_013886925.1	55.3	0.000575	820	544	245	54	15.918	2352;717231	tetratricopeptide repeat protein [Flexistipes sinusarabici]	Flexistipes sinusarabici	cellular organisms	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Flexistipes									
WP_002854338.1	PYV21861.1	63.4	7.89E-07	820	325	291	30	16.838	1978231	hypothetical protein DMG24_18375, partial [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)											
WP_002854338.1	WP_137907353.1	64.9	7.9E-07	820	948	452	53	15.708	136072	serine protease [Dolichospermum planctonicum]	Dolichospermum planctonicum	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Aphanizomenonaceae	Dolichospermum								
WP_002854338.1	WP_048108614.1	65.3	7.9E-07	820	1953	693	81	14.141	2208;1434107	tetratricopeptide repeat protein [Methanosarcina barkeri]	Methanosarcina barkeri	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina								
WP_002854338.1	WP_048108614.1	57.2	0.000208	820	1953	689	81	16.11	2208;1434107	tetratricopeptide repeat protein [Methanosarcina barkeri]	Methanosarcina barkeri	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina								
WP_002854338.1	WP_050757258.1	64.2	7.92E-07	820	425	386	45	16.839	1219	tetratricopeptide repeat protein [Prochlorococcus marinus]	Prochlorococcus marinus	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus								
WP_002854338.1	KKP38205.1	64.5	7.95E-07	820	480	473	54	17.548	1619065;1801901;1801902;1801907	hypothetical protein UR28_C0020G0014 [Candidatus Peregrinibacteria bacterium GW2011_GWF2_33_10]	Candidatus Peregrinibacteria bacterium GW2011_GWF2_33_10	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Peregrinibacteria	unclassified Candidatus Peregrinibacteria										
WP_002854338.1	WP_108068519.1	64.5	8.16E-07	820	635	268	27	19.403	2138576	tetratricopeptide repeat protein [Vitiosangium sp. GDMCC 1.1324]	Vitiosangium sp. GDMCC 1.1324	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Myxococcales	Cystobacterineae	Archangiaceae	Vitiosangium							
WP_002854338.1	WP_096354613.1	64.5	8.36E-07	820	524	423	45	19.149	1550579	tetratricopeptide repeat protein [Mucilaginibacter gotjawali]	Mucilaginibacter gotjawali	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter							
WP_002854338.1	TET78868.1	64.5	8.36E-07	820	524	231	45	18.182	2030808	tetratricopeptide repeat protein [Candidatus Cloacimonetes bacterium]	Candidatus Cloacimonetes bacterium	cellular organisms	Bacteria	FCB group	Candidatus Cloacimonetes	unclassified Candidatus Cloacimonetes											
WP_002854338.1	TET78868.1	55.7	0.000488	820	524	318	45	16.038	2030808	tetratricopeptide repeat protein [Candidatus Cloacimonetes bacterium]	Candidatus Cloacimonetes bacterium	cellular organisms	Bacteria	FCB group	Candidatus Cloacimonetes	unclassified Candidatus Cloacimonetes											
WP_002854338.1	WP_058494963.1	64.5	8.4E-07	820	569	454	54	16.52	96228	tetratricopeptide repeat protein [Legionella drozanskii]	Legionella drozanskii	cellular organisms	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella									
WP_002854338.1	WP_114407192.1	64.2	8.41E-07	820	446	385	46	16.364	2315727	tetratricopeptide repeat protein [Larkinella sp. ZZJ9]	Larkinella sp. ZZJ9	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Larkinella							
WP_002854338.1	ABW66085.1	64.5	8.54E-07	820	587	284	33	18.662	96561	Tetratricopeptide TPR_2 repeat protein [Desulfococcus oleovorans Hxd3]	Desulfococcus oleovorans Hxd3	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus oleovorans							
WP_002854338.1	RJO71902.1	64.9	8.56E-07	820	1218	456	79	18.86	2026763	tetratricopeptide repeat protein [Myxococcales bacterium]	Myxococcales bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Myxococcales	unclassified Myxococcales	unclassified Myxococcales (miscellaneous)								
WP_002854338.1	RJO71902.1	55.3	0.000869	820	1218	598	79	15.217	2026763	tetratricopeptide repeat protein [Myxococcales bacterium]	Myxococcales bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Myxococcales	unclassified Myxococcales	unclassified Myxococcales (miscellaneous)								
