taxid	protein	species	1	2	3	4	5	6	7	8																									
1978231	hypothetical protein DMG24_18375, partial [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
136072	serine protease [Dolichospermum planctonicum]	Dolichospermum planctonicum	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Aphanizomenonaceae	Dolichospermum																									
2208	tetratricopeptide repeat protein [Methanosarcina barkeri]	Methanosarcina barkeri	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																									
2208	tetratricopeptide repeat protein [Methanosarcina barkeri]	Methanosarcina barkeri	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																									
1219	tetratricopeptide repeat protein [Prochlorococcus marinus]	Prochlorococcus marinus	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus																									
1619065	hypothetical protein UR28_C0020G0014 [Candidatus Peregrinibacteria bacterium GW2011_GWF2_33_10]	Candidatus Peregrinibacteria bacterium GW2011_GWF2_33_10	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Peregrinibacteria	unclassified Candidatus Peregrinibacteria																											
2138576	tetratricopeptide repeat protein [Vitiosangium sp. GDMCC 1.1324]	Vitiosangium sp. GDMCC 1.1324	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Myxococcales	Cystobacterineae	Archangiaceae	Vitiosangium																								
1550579	tetratricopeptide repeat protein [Mucilaginibacter gotjawali]	Mucilaginibacter gotjawali	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter																								
2030808	tetratricopeptide repeat protein [Candidatus Cloacimonetes bacterium]	Candidatus Cloacimonetes bacterium	cellular organisms	Bacteria	FCB group	Candidatus Cloacimonetes	unclassified Candidatus Cloacimonetes																												
2030808	tetratricopeptide repeat protein [Candidatus Cloacimonetes bacterium]	Candidatus Cloacimonetes bacterium	cellular organisms	Bacteria	FCB group	Candidatus Cloacimonetes	unclassified Candidatus Cloacimonetes																												
96228	tetratricopeptide repeat protein [Legionella drozanskii]	Legionella drozanskii	cellular organisms	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella																										
2315727	tetratricopeptide repeat protein [Larkinella sp. ZZJ9]	Larkinella sp. ZZJ9	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Larkinella																								
96561	Tetratricopeptide TPR_2 repeat protein [Desulfococcus oleovorans Hxd3]	Desulfococcus oleovorans Hxd3	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus oleovorans																								
2026763	tetratricopeptide repeat protein [Myxococcales bacterium]	Myxococcales bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Myxococcales	unclassified Myxococcales	unclassified Myxococcales (miscellaneous)																									
2026763	tetratricopeptide repeat protein [Myxococcales bacterium]	Myxococcales bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Myxococcales	unclassified Myxococcales	unclassified Myxococcales (miscellaneous)																									
6850	transmembrane and TPR repeat-containing protein 1-like [Limulus polyphemus]	Limulus polyphemus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Protostomia	Ecdysozoa	Panarthropoda	Arthropoda	Chelicerata	Merostomata	Xiphosura	Limulidae	Limulus																		
1978231	hypothetical protein DMG99_10550 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
1710886	hypothetical protein AN485_00840 [Anabaena sp. MDT14b]	Anabaena sp. MDT14b	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Nostocaceae	Anabaena																									
1710886	hypothetical protein AN485_00840 [Anabaena sp. MDT14b]	Anabaena sp. MDT14b	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Nostocaceae	Anabaena																									
28262	tetratricopeptide repeat protein [Thermodesulfovibrio yellowstonii]	Thermodesulfovibrio yellowstonii	cellular organisms	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Thermodesulfovibrio																										
28262	tetratricopeptide repeat protein [Thermodesulfovibrio yellowstonii]	Thermodesulfovibrio yellowstonii	cellular organisms	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Thermodesulfovibrio																										
70125	tetratricopeptide repeat protein [Nitrospira sp.]	Nitrospira sp.	cellular organisms	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira																										
70125	tetratricopeptide repeat protein [Nitrospira sp.]	Nitrospira sp.	cellular organisms	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira																										
1801821	hypothetical protein A3C51_01540 [Omnitrophica bacterium RIFCSPHIGHO2_02_FULL_46_20]	Omnitrophica bacterium RIFCSPHIGHO2_02_FULL_46_20	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica																												
1801821	hypothetical protein A3C51_01540 [Omnitrophica bacterium RIFCSPHIGHO2_02_FULL_46_20]	Omnitrophica bacterium RIFCSPHIGHO2_02_FULL_46_20	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica																												
1801821	hypothetical protein A3C51_01540 [Omnitrophica bacterium RIFCSPHIGHO2_02_FULL_46_20]	Omnitrophica bacterium RIFCSPHIGHO2_02_FULL_46_20	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica																												
2026780	hypothetical protein DRP65_09795 [Planctomycetes bacterium]	Planctomycetes bacterium	cellular organisms	Bacteria	PVC group	Planctomycetes	unclassified Planctomycetes																												
1723647	tetratricopeptide repeat protein [Prochlorococcus sp. MIT 1303]	Prochlorococcus sp. MIT 1303	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus																									
181663	tetratricopeptide repeat protein [Desulfococcus oleovorans]	Desulfococcus oleovorans	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus																									
1705409	lipoprotein NlpI [Arc I group archaeon U1lsi0528_Bin055]	Arc I group archaeon U1lsi0528_Bin055	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	unclassified Methanomicrobia	Arc I group																										
1705409	lipoprotein NlpI [Arc I group archaeon U1lsi0528_Bin055]	Arc I group archaeon U1lsi0528_Bin055	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	unclassified Methanomicrobia	Arc I group																										
1801606	hypothetical protein A2Y25_02710 [Candidatus Melainabacteria bacterium GWF2_37_15]	Candidatus Melainabacteria bacterium GWF2_37_15	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Candidatus Melainabacteria	unclassified Candidatus Melainabacteria																											
247490	serine protease [Candidatus Jettenia caeni]	Candidatus Jettenia caeni	cellular organisms	Bacteria	PVC group	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Jettenia																									
673860	tetratricopeptide repeat protein [Aciduliprofundum sp. MAR08-339]	Aciduliprofundum sp. MAR08-339	cellular organisms	Archaea	Euryarchaeota	Diaforarchaea group	DHVE2 group	Aciduliprofundum																											
673860	tetratricopeptide repeat protein [Aciduliprofundum sp. MAR08-339]	Aciduliprofundum sp. MAR08-339	cellular organisms	Archaea	Euryarchaeota	Diaforarchaea group	DHVE2 group	Aciduliprofundum																											
158441	transmembrane and TPR repeat-containing protein 1-like [Folsomia candida]	Folsomia candida	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Protostomia	Ecdysozoa	Panarthropoda	Arthropoda	Mandibulata	Pancrustacea	Hexapoda	Collembola	Entomobryomorpha	Isotomoidea	Isotomidae	Proisotominae	Folsomia														
2093361	DUF2723 domain-containing protein [Candidatus Abyssubacteria bacterium SURF_17]	Candidatus Abyssubacteria bacterium SURF_17	cellular organisms	Bacteria	PVC group	Candidatus Abyssubacteria																													
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
1186	MULTISPECIES: tetratricopeptide repeat protein [Calothrix]	Calothrix	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Rivulariaceae																										
1186	MULTISPECIES: tetratricopeptide repeat protein [Calothrix]	Calothrix	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Rivulariaceae																										
1978231	tetratricopeptide repeat protein [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
1973904	hypothetical protein CO094_01750 [Anaerolineae bacterium CG_4_9_14_3_um_filter_57_17]	Anaerolineae bacterium CG_4_9_14_3_um_filter_57_17	cellular organisms	Bacteria	Terrabacteria group	Chloroflexi	Anaerolineae	unclassified Anaerolineae																											
2044937	hypothetical protein CSB45_08980 [candidate division KSB3 bacterium]	candidate division KSB3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB3																												
2044937	hypothetical protein CSB45_08980 [candidate division KSB3 bacterium]	candidate division KSB3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB3																												
2044937	hypothetical protein CSB45_08980 [candidate division KSB3 bacterium]	candidate division KSB3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB3																												
1437191	protein O-mannosyl-transferase TMTC4-like [Osmia bicornis bicornis]	Osmia bicornis bicornis	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Protostomia	Ecdysozoa	Panarthropoda	Arthropoda	Mandibulata	Pancrustacea	Hexapoda	Insecta	Dicondylia	Pterygota	Neoptera	Holometabola	Hymenoptera	Apocrita	Aculeata	Apoidea	Megachilidae	Megachilinae	Osmiini	Osmia	Osmia bicornis						
29362	tetratricopeptide repeat protein [Ruminiclostridium papyrosolvens]	Ruminiclostridium papyrosolvens	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Ruminiclostridium																									
1978231	hypothetical protein DMG21_09155 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
2172549	hypothetical protein DB853_16615 [Candidatus Brocadia sp.]	Candidatus Brocadia sp.	cellular organisms	Bacteria	PVC group	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Brocadia																									
1961114	hypothetical protein B6D35_09725 [Candidatus Brocadia sp. UTAMX2]	Candidatus Brocadia sp. UTAMX2	cellular organisms	Bacteria	PVC group	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Brocadia																									
1619067	SLEI family protein [Candidatus Peregrinibacteria bacterium GW2011_GWF2_39_17]	Candidatus Peregrinibacteria bacterium GW2011_GWF2_39_17	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Peregrinibacteria	unclassified Candidatus Peregrinibacteria																											
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
5932	tpr repeat protein [Ichthyophthirius multifiliis]	Ichthyophthirius multifiliis	cellular organisms	Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Hymenostomatida	Ophryoglenina	Ichthyophthirius																								
5932	tpr repeat protein [Ichthyophthirius multifiliis]	Ichthyophthirius multifiliis	cellular organisms	Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Hymenostomatida	Ophryoglenina	Ichthyophthirius																								
2080303	tetratricopeptide repeat protein [Candidatus Dadabacteria bacterium]	Candidatus Dadabacteria bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Dadabacteria																												
10090	PREDICTED: tetratricopeptide repeat protein 6 isoform X11 [Mus musculus]	Mus musculus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Euarchontoglires	Glires	Rodentia	Myomorpha	Muroidea	Muridae	Murinae	Mus	Mus			
143950	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase-like [Sipha flava]	Sipha flava	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Protostomia	Ecdysozoa	Panarthropoda	Arthropoda	Mandibulata	Pancrustacea	Hexapoda	Insecta	Dicondylia	Pterygota	Neoptera	Paraneoptera	Hemiptera	Sternorrhyncha	Aphidomorpha	Aphidoidea	Aphididae	Chaitophorinae	Sipha								
143950	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase-like [Sipha flava]	Sipha flava	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Protostomia	Ecdysozoa	Panarthropoda	Arthropoda	Mandibulata	Pancrustacea	Hexapoda	Insecta	Dicondylia	Pterygota	Neoptera	Paraneoptera	Hemiptera	Sternorrhyncha	Aphidomorpha	Aphidoidea	Aphididae	Chaitophorinae	Sipha								
2005731	TPR repeat-containing protein YrrB [bacterium BMS3Bbin08]	bacterium BMS3Bbin08	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)																													
2005731	TPR repeat-containing protein YrrB [bacterium BMS3Bbin08]	bacterium BMS3Bbin08	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)																													
1519	J domain-containing protein [Clostridium tyrobutyricum]	Clostridium tyrobutyricum	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium																									
1229	PEP-CTERM system TPR-repeat protein PrsT [Nitrosococcus oceani]	Nitrosococcus oceani	cellular organisms	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus																										
9606	tetratricopeptide repeat domain 6, isoform CRA_d [Homo sapiens]	Homo sapiens	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Euarchontoglires	Primates	Haplorrhini	Simiiformes	Catarrhini	Hominoidea	Hominidae	Homininae	Homo			
1520893	tetratricopeptide repeat protein [Mesoflavibacter sabulilitoris]	Mesoflavibacter sabulilitoris	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mesoflavibacter																								
2004994	hypothetical protein CCU27_07800 [Nitrospira sp. UW-LDO-02]	Nitrospira sp. UW-LDO-02	cellular organisms	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira																										
2004994	hypothetical protein CCU27_07800 [Nitrospira sp. UW-LDO-02]	Nitrospira sp. UW-LDO-02	cellular organisms	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira																										
188872	DUF5107 domain-containing protein [Arenibacter troitsensis]	Arenibacter troitsensis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Arenibacter																								
2026760	tetratricopeptide repeat protein [Candidatus Marinimicrobia bacterium]	Candidatus Marinimicrobia bacterium	cellular organisms	Bacteria	FCB group	Candidatus Marinimicrobia																													
1499967	conserved hypothetical TPR repeat protein [Candidatus Vecturithrix granuli]	Candidatus Vecturithrix granuli	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Vecturithrix																													
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
247490	peptidase [Candidatus Jettenia caeni]	Candidatus Jettenia caeni	cellular organisms	Bacteria	PVC group	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Jettenia																									
1797273	hypothetical protein A2W03_02515 [Candidatus Aminicenantes bacterium RBG_16_63_16]	Candidatus Aminicenantes bacterium RBG_16_63_16	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aminicenantes	unclassified Aminicenantes																											
44576	PEP-CTERM system TPR-repeat protein PrsT [Nitrosomonas halophila]	Nitrosomonas halophila	cellular organisms	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas																										
2184080	tetratricopeptide repeat protein [Chitinophaga sp. GDMCC 1.1325]	Chitinophaga sp. GDMCC 1.1325	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga																								
63363	tetratricopeptide repeat protein [Aquifex aeolicus]	Aquifex aeolicus	cellular organisms	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex																										
1974747	hypothetical protein COV73_00820, partial [Candidatus Omnitrophica bacterium CG11_big_fil_rev_8_21_14_0_20_43_6]	Candidatus Omnitrophica bacterium CG11_big_fil_rev_8_21_14_0_20_43_6	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica																												
2026760	tetratricopeptide repeat protein [Candidatus Marinimicrobia bacterium]	Candidatus Marinimicrobia bacterium	cellular organisms	Bacteria	FCB group	Candidatus Marinimicrobia																													
118000	tetratricopeptide repeat protein [Denitrovibrio acetiphilus]	Denitrovibrio acetiphilus	cellular organisms	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Denitrovibrio																										
118000	tetratricopeptide repeat protein [Denitrovibrio acetiphilus]	Denitrovibrio acetiphilus	cellular organisms	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Denitrovibrio																										
1801722	hypothetical protein A2Y48_01800 [Nitrospirae bacterium RIFCSPLOW2_12_42_9]	Nitrospirae bacterium RIFCSPLOW2_12_42_9	cellular organisms	Bacteria	Nitrospirae	unclassified Nitrospirae																													
945775	hypothetical protein DCF19_22480 [Pseudanabaena frigida]	Pseudanabaena frigida	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Synechococcales	Pseudanabaenaceae	Pseudanabaena																									
49369	protein CTR9 homolog [Coffea eugenioides]	Coffea eugenioides	cellular organisms	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Embryophyta	Tracheophyta	Euphyllophyta	Spermatophyta	Magnoliopsida	Mesangiospermae	eudicotyledons	Gunneridae	Pentapetalae	asterids	lamiids	Gentianales	Rubiaceae	Ixoroideae	Gardenieae complex	Bertiereae - Coffeeae clade	Coffeeae	Coffea										
483324	tetratricopeptide repeat protein [Maritalea mobilis]	Maritalea mobilis	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Maritalea																										
174633	tetratricopeptide repeat protein [Candidatus Kuenenia stuttgartiensis]	Candidatus Kuenenia stuttgartiensis	cellular organisms	Bacteria	PVC group	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Kuenenia																									
312017	tetratricopeptide repeat protein [Tetrahymena thermophila SB210]	Tetrahymena thermophila SB210	cellular organisms	Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Hymenostomatida	Tetrahymenina	Tetrahymenidae	Tetrahymena	Tetrahymena thermophila																						
312017	tetratricopeptide repeat protein [Tetrahymena thermophila SB210]	Tetrahymena thermophila SB210	cellular organisms	Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Hymenostomatida	Tetrahymenina	Tetrahymenidae	Tetrahymena	Tetrahymena thermophila																						
2026735	tetratricopeptide repeat protein [Deltaproteobacteria bacterium]	Deltaproteobacteria bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)																										
1978231	hypothetical protein DMG26_04055 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
2044944	tetratricopeptide repeat protein [Sphingobacteriales bacterium]	Sphingobacteriales bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	unclassified Sphingobacteriales	unclassified Sphingobacteriales (miscellaneous)																								
70125	hypothetical protein EWM72_00350 [Nitrospira sp.]	Nitrospira sp.	cellular organisms	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira																										
2026729	tetratricopeptide repeat protein [Cytophagaceae bacterium]	Cytophagaceae bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	unclassified Cytophagaceae																								
2012999	hypothetical protein CEE39_04750 [bacterium (candidate division B38) B3_B38]	bacterium (candidate division B38) B3_B38	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)																													
2012999	hypothetical protein CEE39_04750 [bacterium (candidate division B38) B3_B38]	bacterium (candidate division B38) B3_B38	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)																													
2026742	tetratricopeptide repeat protein [Gemmatimonadetes bacterium]	Gemmatimonadetes bacterium	cellular organisms	Bacteria	FCB group	Gemmatimonadetes	unclassified Gemmatimonadetes																												
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
9733	PREDICTED: transmembrane and TPR repeat-containing protein 1 isoform X2 [Orcinus orca]	Orcinus orca	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Laurasiatheria	Cetartiodactyla	Cetacea	Odontoceti	Delphinidae	Orcinus						
1811699	TPR repeat-containing protein YrrB [Syntrophorhabdus sp. PtaB.Bin027]	Syntrophorhabdus sp. PtaB.Bin027	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Syntrophobacterales	Syntrophorhabdaceae	Syntrophorhabdus																									
2026735	cytochrome c biogenesis factor [Deltaproteobacteria bacterium]	Deltaproteobacteria bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)																										
29384	tetratricopeptide repeat protein [Staphylococcus kloosii]	Staphylococcus kloosii	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus																									
45351	predicted protein [Nematostella vectensis]	Nematostella vectensis	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Cnidaria	Anthozoa	Hexacorallia	Actiniaria	Edwardsiidae	Nematostella																						
2005731	putative serine protease HhoB precursor [bacterium BMS3Bbin08]	bacterium BMS3Bbin08	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)																													
2005731	putative serine protease HhoB precursor [bacterium BMS3Bbin08]	bacterium BMS3Bbin08	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)																													
1912139	PEP-CTERM system TPR-repeat protein PrsT [Alteromonas sp. V450]	Alteromonas sp. V450	cellular organisms	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas																										
9733	PREDICTED: transmembrane and TPR repeat-containing protein 1 isoform X1 [Orcinus orca]	Orcinus orca	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Laurasiatheria	Cetartiodactyla	Cetacea	Odontoceti	Delphinidae	Orcinus						
268141	tetratricopeptide repeat protein [Phormidesmis priestleyi]	Phormidesmis priestleyi	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Synechococcales	Leptolyngbyaceae	Phormidesmis																									
268141	tetratricopeptide repeat protein [Phormidesmis priestleyi]	Phormidesmis priestleyi	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Synechococcales	Leptolyngbyaceae	Phormidesmis																									
268141	tetratricopeptide repeat protein [Phormidesmis priestleyi]	Phormidesmis priestleyi	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Synechococcales	Leptolyngbyaceae	Phormidesmis																									
