taxid	protein	species	1	2	3	4	5	6	7	8																											
54307	tetratricopeptide repeat protein [Planktothrix prolifica]	Planktothrix prolifica	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Microcoleaceae	Planktothrix																										
1017	tetratricopeptide repeat protein [Capnocytophaga gingivalis]	Capnocytophaga gingivalis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga																										
1017	tetratricopeptide repeat protein [Capnocytophaga gingivalis]	Capnocytophaga gingivalis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga																										
127582	intraflagellar transport protein 88 homolog isoform X4 [Trichechus manatus latirostris]	Trichechus manatus latirostris	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Afrotheria	Sirenia	Trichechidae	Trichechus	Trichechus manatus										
2512173	tetratricopeptide repeat protein [Larkinella sp. BK230]	Larkinella sp. BK230	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Larkinella																										
2512173	tetratricopeptide repeat protein [Larkinella sp. BK230]	Larkinella sp. BK230	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Larkinella																										
2512173	tetratricopeptide repeat protein [Larkinella sp. BK230]	Larkinella sp. BK230	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Larkinella																										
1898104	outer membrane protein assembly factor BamD [Bacteroidetes bacterium]	Bacteroidetes bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes (miscellaneous)																												
1898104	outer membrane protein assembly factor BamD [Bacteroidetes bacterium]	Bacteroidetes bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes (miscellaneous)																												
1898104	outer membrane protein assembly factor BamD [Bacteroidetes bacterium]	Bacteroidetes bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes (miscellaneous)																												
9685	intraflagellar transport protein 88 homolog isoform X2 [Felis catus]	Felis catus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Laurasiatheria	Carnivora	Feliformia	Felidae	Felinae	Felis								
1880991	hypothetical protein BCD67_01125 [Oscillatoriales cyanobacterium USR001]	Oscillatoriales cyanobacterium USR001	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	unclassified Oscillatoriales	unclassified Oscillatoriales (miscellaneous)																										
2026799	hypothetical protein DME32_00485 [Verrucomicrobia bacterium]	Verrucomicrobia bacterium	cellular organisms	Bacteria	PVC group	Verrucomicrobia	unclassified Verrucomicrobia	unclassified Verrucomicrobia (miscellaneous)																													
265487	MULTISPECIES: tetratricopeptide repeat protein [Blastopirellula]	Blastopirellula	cellular organisms	Bacteria	PVC group	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae																												
265487	MULTISPECIES: tetratricopeptide repeat protein [Blastopirellula]	Blastopirellula	cellular organisms	Bacteria	PVC group	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae																												
2014531	tetratricopeptide repeat protein [Nostoc sp. 'Peltigera membranacea cyanobiont' 232]	Nostoc sp. 'Peltigera membranacea cyanobiont' 232	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Nostocaceae	Nostoc																											
2014531	tetratricopeptide repeat protein [Nostoc sp. 'Peltigera membranacea cyanobiont' 232]	Nostoc sp. 'Peltigera membranacea cyanobiont' 232	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Nostocaceae	Nostoc																											
2207	MULTISPECIES: tetratricopeptide repeat protein [Methanosarcina]	Methanosarcina	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae																												
2207	MULTISPECIES: tetratricopeptide repeat protein [Methanosarcina]	Methanosarcina	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae																												
1801896	hypothetical protein A2X84_02680 [Desulfuromonadaceae bacterium GWC2_58_13]	Desulfuromonadaceae bacterium GWC2_58_13	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	unclassified Desulfuromonadaceae																											
1801896	hypothetical protein A2X84_02680 [Desulfuromonadaceae bacterium GWC2_58_13]	Desulfuromonadaceae bacterium GWC2_58_13	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	unclassified Desulfuromonadaceae																											
1797812	hypothetical protein A2X90_06785 [Deltaproteobacteria bacterium GWA2_65_63]	Deltaproteobacteria bacterium GWA2_65_63	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)																												
64988	tetratricopeptide repeat protein [Alcanivorax jadensis]	Alcanivorax jadensis	cellular organisms	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax																												
64988	tetratricopeptide repeat protein [Alcanivorax jadensis]	Alcanivorax jadensis	cellular organisms	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax																												
415028	tetratricopeptide repeat protein 21B isoform X1 [Corapipo altera]	Corapipo altera	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Sauropsida	Sauria	Archelosauria	Archosauria	Dinosauria	Saurischia	Theropoda	Coelurosauria	Aves	Neognathae	Passeriformes	Pipridae	Corapipo					
38027	tetratricopeptide repeat protein [Methanosarcina siciliae]	Methanosarcina siciliae	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																											
38027	tetratricopeptide repeat protein [Methanosarcina siciliae]	Methanosarcina siciliae	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																											
38027	tetratricopeptide repeat protein [Methanosarcina siciliae]	Methanosarcina siciliae	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																											
38027	tetratricopeptide repeat protein [Methanosarcina siciliae]	Methanosarcina siciliae	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																											
38027	tetratricopeptide repeat protein [Methanosarcina siciliae]	Methanosarcina siciliae	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																											
2516958	tetratricopeptide repeat protein [Bacteroides caecimuri]	Bacteroides caecimuri	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides																										
2026760	hypothetical protein DRP96_02845 [Candidatus Marinimicrobia bacterium]	Candidatus Marinimicrobia bacterium	cellular organisms	Bacteria	FCB group	Candidatus Marinimicrobia																															
291644	tetratricopeptide repeat protein [Bacteroides salyersiae]	Bacteroides salyersiae	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides																										
291644	tetratricopeptide repeat protein [Bacteroides salyersiae]	Bacteroides salyersiae	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides																										
291644	tetratricopeptide repeat protein [Bacteroides salyersiae]	Bacteroides salyersiae	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides																										
1587524	tetratricopeptide repeat protein [Flavobacterium sp. MEB061]	Flavobacterium sp. MEB061	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium																										
1587524	tetratricopeptide repeat protein [Flavobacterium sp. MEB061]	Flavobacterium sp. MEB061	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium																										
1587524	tetratricopeptide repeat protein [Flavobacterium sp. MEB061]	Flavobacterium sp. MEB061	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium																										
515849	Putative Kinesin light chain [Podospora anserina S mat+]	Podospora anserina S mat+	cellular organisms	Eukaryota	Opisthokonta	Fungi	Dikarya	Ascomycota	saccharomyceta	Pezizomycotina	leotiomyceta	sordariomyceta	Sordariomycetes	Sordariomycetidae	Sordariales	Lasiosphaeriaceae	Podospora	Podospora anserina																			
40151	intraflagellar transport protein 88 homolog isoform X2 [Monodon monoceros]	Monodon monoceros	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Laurasiatheria	Cetartiodactyla	Cetacea	Odontoceti	Monodontidae	Monodon								
226506	tetratricopeptide repeat protein [Algoriphagus ornithinivorans]	Algoriphagus ornithinivorans	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus																										
226506	tetratricopeptide repeat protein [Algoriphagus ornithinivorans]	Algoriphagus ornithinivorans	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus																										
226506	tetratricopeptide repeat protein [Algoriphagus ornithinivorans]	Algoriphagus ornithinivorans	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus																										
1617283	tetratricopeptide repeat protein [Flavobacterium nitrogenifigens]	Flavobacterium nitrogenifigens	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium																										
1912213	PEP-CTERM system TPR-repeat protein PrsT [Methylocaldum sp. 14B]	Methylocaldum sp. 14B	cellular organisms	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum																												
1160	tetratricopeptide repeat protein [Planktothrix agardhii]	Planktothrix agardhii	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Microcoleaceae	Planktothrix																										
1974053	hypothetical protein COZ32_13365, partial [Nitrospirae bacterium CG_4_10_14_3_um_filter_53_41]	Nitrospirae bacterium CG_4_10_14_3_um_filter_53_41	cellular organisms	Bacteria	Nitrospirae	unclassified Nitrospirae																															
1434119	hypothetical protein MSSIH_1184 [Methanosarcina siciliae HI350]	Methanosarcina siciliae HI350	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina siciliae																										
1434119	hypothetical protein MSSIH_1184 [Methanosarcina siciliae HI350]	Methanosarcina siciliae HI350	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina siciliae																										
1434119	hypothetical protein MSSIH_1184 [Methanosarcina siciliae HI350]	Methanosarcina siciliae HI350	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina siciliae																										
1434119	hypothetical protein MSSIH_1184 [Methanosarcina siciliae HI350]	Methanosarcina siciliae HI350	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina siciliae																										
1434119	hypothetical protein MSSIH_1184 [Methanosarcina siciliae HI350]	Methanosarcina siciliae HI350	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina siciliae																										
459526	tetratricopeptide repeat protein [Flavobacterium anhuiense]	Flavobacterium anhuiense	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium																										
570835	tetratricopeptide (TPR) repeat protein [Edaphobacter aggregans]	Edaphobacter aggregans	cellular organisms	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter																												
35835	tetratricopeptide repeat protein [Hydrogenobacter hydrogenophilus]	Hydrogenobacter hydrogenophilus	cellular organisms	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter																												
2512262	tetratricopeptide repeat protein [Candidatus Scalindua sp. SCAELEC01]	Candidatus Scalindua sp. SCAELEC01	cellular organisms	Bacteria	PVC group	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Scalindua																											
2026735	hypothetical protein DRG83_14245 [Deltaproteobacteria bacterium]	Deltaproteobacteria bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)																												
2026735	hypothetical protein DRG83_14245 [Deltaproteobacteria bacterium]	Deltaproteobacteria bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)																												
1073327	tetratricopeptide repeat protein [Algoriphagus zhangzhouensis]	Algoriphagus zhangzhouensis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus																										
1073327	tetratricopeptide repeat protein [Algoriphagus zhangzhouensis]	Algoriphagus zhangzhouensis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus																										
1073327	tetratricopeptide repeat protein [Algoriphagus zhangzhouensis]	Algoriphagus zhangzhouensis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus																										
2358460	tetratricopeptide repeat protein [Nitrospirales bacterium]	Nitrospirales bacterium	cellular organisms	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	unclassified Nitrospirales																													
51195	tetratricopeptide repeat protein [Desulfofustis glycolicus]	Desulfofustis glycolicus	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfofustis																											
570835	tetratricopeptide repeat protein [Edaphobacter aggregans]	Edaphobacter aggregans	cellular organisms	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter																												
2572595	tetratricopeptide repeat protein [Flavobacterium sp. ASW18X]	Flavobacterium sp. ASW18X	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium																										
2572595	tetratricopeptide repeat protein [Flavobacterium sp. ASW18X]	Flavobacterium sp. ASW18X	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium																										
1896169	hypothetical protein BGO42_16905 [Flavobacterium sp. 40-81]	Flavobacterium sp. 40-81	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium																										
1896169	hypothetical protein BGO42_16905 [Flavobacterium sp. 40-81]	Flavobacterium sp. 40-81	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium																										
1896169	hypothetical protein BGO42_16905 [Flavobacterium sp. 40-81]	Flavobacterium sp. 40-81	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium																										
2035405	Beta-barrel assembly-enhancing protease [bacterium HR10]	bacterium HR10	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)																															
1982593	tetratricopeptide repeat protein [Robiginitalea sp. O458]	Robiginitalea sp. O458	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Robiginitalea																										
1982593	tetratricopeptide repeat protein [Robiginitalea sp. O458]	Robiginitalea sp. O458	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Robiginitalea																										
29073	PREDICTED: intraflagellar transport protein 88 homolog isoform X2 [Ursus maritimus]	Ursus maritimus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Laurasiatheria	Carnivora	Caniformia	Ursidae	Ursus									
1339349	tol-pal system protein YbgF [Bacteroides uniformis str. 3978 T3 ii]	Bacteroides uniformis str. 3978 T3 ii	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis																									
1339349	tol-pal system protein YbgF [Bacteroides uniformis str. 3978 T3 ii]	Bacteroides uniformis str. 3978 T3 ii	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis																									
2030927	hypothetical protein EHM93_16770 [Bacteroidales bacterium]	Bacteroidales bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified Bacteroidales	unclassified Bacteroidales (miscellaneous)																										
2030927	hypothetical protein EHM93_16770 [Bacteroidales bacterium]	Bacteroidales bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified Bacteroidales	unclassified Bacteroidales (miscellaneous)																										
46506	tetratricopeptide repeat protein [Bacteroides stercoris]	Bacteroides stercoris	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides																										
1121884	Tetratricopeptide repeat-containing protein [Flavisolibacter ginsengisoli DSM 18119]	Flavisolibacter ginsengisoli DSM 18119	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Flavisolibacter ginsengisoli																									
2014308	hypothetical protein COT16_00385 [Elusimicrobia bacterium CG08_land_8_20_14_0_20_44_26]	Elusimicrobia bacterium CG08_land_8_20_14_0_20_44_26	cellular organisms	Bacteria	Elusimicrobia	unclassified Elusimicrobia																															
641665	PEP-CTERM system TPR-repeat protein PrsT [Colwellia chukchiensis]	Colwellia chukchiensis	cellular organisms	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia																												
45264	uncharacterized protein LOC114976118 [Acropora millepora]	Acropora millepora	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Cnidaria	Anthozoa	Hexacorallia	Scleractinia	Astrocoeniina	Acroporidae	Acropora																							
2044944	outer membrane protein assembly factor BamD [Sphingobacteriales bacterium]	Sphingobacteriales bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	unclassified Sphingobacteriales	unclassified Sphingobacteriales (miscellaneous)																										
1978231	hypothetical protein DMG09_27730 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																														
2528203	tetratricopeptide repeat protein [Bacteroides sp. A1C1]	Bacteroides sp. A1C1	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides																										
2528203	tetratricopeptide repeat protein [Bacteroides sp. A1C1]	Bacteroides sp. A1C1	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides																										
2211146	tetratricopeptide repeat protein [Hymenobacter sp. NL]	Hymenobacter sp. NL	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter																										
2211146	tetratricopeptide repeat protein [Hymenobacter sp. NL]	Hymenobacter sp. NL	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter																										
2211146	tetratricopeptide repeat protein [Hymenobacter sp. NL]	Hymenobacter sp. NL	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter																										
310300	tetratricopeptide repeat protein [Bacteroides pyogenes]	Bacteroides pyogenes	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides																										
310300	tetratricopeptide repeat protein [Bacteroides pyogenes]	Bacteroides pyogenes	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides																										
202946	PREDICTED: tetratricopeptide repeat protein 21B [Apteryx australis mantelli]	Apteryx australis mantelli	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Sauropsida	Sauria	Archelosauria	Archosauria	Dinosauria	Saurischia	Theropoda	Coelurosauria	Aves	Palaeognathae	Apterygiformes	Apterygidae	Apteryx	Apteryx australis				
29073	PREDICTED: intraflagellar transport protein 88 homolog isoform X1 [Ursus maritimus]	Ursus maritimus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Laurasiatheria	Carnivora	Caniformia	Ursidae	Ursus									
1797940	hypothetical protein A2V88_13445 [Elusimicrobia bacterium RBG_16_66_12]	Elusimicrobia bacterium RBG_16_66_12	cellular organisms	Bacteria	Elusimicrobia	unclassified Elusimicrobia																															
1797940	hypothetical protein A2V88_13445 [Elusimicrobia bacterium RBG_16_66_12]	Elusimicrobia bacterium RBG_16_66_12	cellular organisms	Bacteria	Elusimicrobia	unclassified Elusimicrobia																															
1797940	hypothetical protein A2V88_13445 [Elusimicrobia bacterium RBG_16_66_12]	Elusimicrobia bacterium RBG_16_66_12	cellular organisms	Bacteria	Elusimicrobia	unclassified Elusimicrobia																															
906888	tetratricopeptide repeat protein [Nonlabens ulvanivorans]	Nonlabens ulvanivorans	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Nonlabens																										
906888	tetratricopeptide repeat protein [Nonlabens ulvanivorans]	Nonlabens ulvanivorans	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Nonlabens																										
1703781	hypothetical protein AMJ46_06180 [Latescibacteria bacterium DG_63]	Latescibacteria bacterium DG_63	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria																														
820	tetratricopeptide repeat protein [Bacteroides uniformis]	Bacteroides uniformis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides																										
820	tetratricopeptide repeat protein [Bacteroides uniformis]	Bacteroides uniformis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides																										
2491711	tetratricopeptide repeat protein [Flavobacteriaceae bacterium 14752]	Flavobacteriaceae bacterium 14752	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	unclassified Flavobacteriaceae																										
1510	DUF5050 domain-containing protein [Thermoclostridium stercorarium]	Thermoclostridium stercorarium	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Thermoclostridium																											
9994	PREDICTED: intraflagellar transport protein 88 homolog isoform X1 [Marmota marmota marmota]	Marmota marmota marmota	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Euarchontoglires	Glires	Rodentia	Sciuromorpha	Sciuridae	Xerinae	Marmotini	Marmota	Marmota marmota					
