qaccver	saccver	bitscore	eval	qlen	slen	length	qcovs	pident	taxid	protein	species	a	b	c	d	e	f	g	h	I	j	k	l	m	n	o	p	q
WP_002851328.1	OGV44198.1	56.5	0.000301	788	902	456	70	16.228	1798573	hypothetical protein A2X48_02740 [Lentisphaerae bacterium GWF2_49_21]	Lentisphaerae bacterium GWF2_49_21	cellular organisms	Bacteria	PVC group	Lentisphaerae	unclassified Lentisphaerae	unclassified Lentisphaerae (miscellaneous)											
WP_002851328.1	TDI78418.1	70.3	1.66E-08	788	740	525	64	15.619	1962856	tetratricopeptide repeat protein, partial [Caldithrix sp.]	Caldithrix sp.	cellular organisms	Bacteria	Calditrichaeota	Calditrichae	Calditrichales	Calditrichaceae	Caldithrix										
WP_002851328.1	WP_092230306.1	70.3	1.66E-08	788	849	625	78	11.84	90732	tetratricopeptide repeat protein [Desulfobacula phenolica]	Desulfobacula phenolica	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacula									
WP_002851328.1	OIO03034.1	70.3	1.67E-08	788	798	626	74	12.62	1817894	hypothetical protein AUJ67_01605 [Candidatus Desantisbacteria bacterium CG1_02_49_89]	Candidatus Desantisbacteria bacterium CG1_02_49_89	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Desantisbacteria												
WP_002851328.1	WP_082172403.1	70.7	1.68E-08	788	1365	655	76	14.656	1118279	tetratricopeptide repeat protein [Limnoraphis robusta]	Limnoraphis robusta	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Oscillatoriaceae	Limnoraphis								
WP_002851328.1	XP_013026835.1	70.7	1.69E-08	788	1372	438	52	15.982	381198	PREDICTED: LOW QUALITY PROTEIN: tetratricopeptide repeat protein 21B [Anser cygnoides domesticus]	Anser cygnoides domesticus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota
WP_002851328.1	WP_073630575.1	70.3	1.7E-08	788	1333	448	65	16.071	1137095	tetratricopeptide repeat protein [Scytonema sp. HK-05]	Scytonema sp. HK-05	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Scytonemataceae	Scytonema									
WP_002851328.1	WP_073630575.1	65.7	4.59E-07	788	1333	517	65	13.153	1137095	tetratricopeptide repeat protein [Scytonema sp. HK-05]	Scytonema sp. HK-05	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Scytonemataceae	Scytonema									
WP_002851328.1	WP_073630575.1	61.5	9.74E-06	788	1333	484	65	13.843	1137095	tetratricopeptide repeat protein [Scytonema sp. HK-05]	Scytonema sp. HK-05	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Nostocales	Scytonemataceae	Scytonema									
WP_002851328.1	WP_073482907.1	70.3	1.7E-08	788	1005	461	67	15.835	237;1761784;1882758	MULTISPECIES: tetratricopeptide repeat protein [Flavobacterium]	Flavobacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae									
WP_002851328.1	WP_073482907.1	61.1	1.42E-05	788	1005	610	67	14.262	237;1761784;1882758	MULTISPECIES: tetratricopeptide repeat protein [Flavobacterium]	Flavobacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae									
WP_002851328.1	WP_032847042.1	70.3	1.7E-08	788	1005	670	77	12.239	816;1339286;1339346;1339347;1739517	MULTISPECIES: tetratricopeptide repeat protein [Bacteroides]	Bacteroides	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae									
WP_002851328.1	WP_032847042.1	61.9	7.42E-06	788	1005	627	77	14.035	816;1339286;1339346;1339347;1739517	MULTISPECIES: tetratricopeptide repeat protein [Bacteroides]	Bacteroides	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae									
WP_002851328.1	WP_068670537.1	70.3	1.72E-08	788	730	566	72	12.898	999894	tetratricopeptide repeat protein [Thermosulfurimonas dismutans]	Thermosulfurimonas dismutans	cellular organisms	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermosulfurimonas										
WP_002851328.1	WP_068670537.1	69.6	2.43E-08	788	730	284	72	19.014	999894	tetratricopeptide repeat protein [Thermosulfurimonas dismutans]	Thermosulfurimonas dismutans	cellular organisms	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermosulfurimonas										
WP_002851328.1	WP_009001022.1	70.3	1.73E-08	788	1005	668	76	12.425	556259	tetratricopeptide repeat protein [Bacteroides sp. D2]	Bacteroides sp. D2	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides								
WP_002851328.1	WP_009001022.1	68.8	5.63E-08	788	1005	553	76	14.286	556259	tetratricopeptide repeat protein [Bacteroides sp. D2]	Bacteroides sp. D2	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides								
WP_002851328.1	OQY89270.1	70.3	1.75E-08	788	810	488	61	14.549	1961101	hypothetical protein B6D39_09895 [Anaerolineae bacterium UTCFX2]	Anaerolineae bacterium UTCFX2	cellular organisms	Bacteria	Terrabacteria group	Chloroflexi	Anaerolineae	unclassified Anaerolineae											
WP_002851328.1	WP_124075442.1	70.3	1.79E-08	788	996	372	46	15.86	2486466	tetratricopeptide repeat protein [Muribaculaceae bacterium Isolate-039 (Harlan)]	Muribaculaceae bacterium Isolate-039 (Harlan)	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	unclassified Muribaculaceae								
WP_002851328.1	WP_078735498.1	70.3	1.79E-08	788	1001	470	61	14.043	36874	tetratricopeptide repeat protein [Porphyromonas cangingivalis]	Porphyromonas cangingivalis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas								
WP_002851328.1	WP_078735498.1	63.4	2.47E-06	788	1001	301	61	13.953	36874	tetratricopeptide repeat protein [Porphyromonas cangingivalis]	Porphyromonas cangingivalis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas								
WP_002851328.1	WP_109674027.1	70.3	1.79E-08	788	1002	606	76	15.347	1082580	tetratricopeptide repeat protein [Dyadobacter jejuensis]	Dyadobacter jejuensis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter								
WP_002851328.1	WP_079681335.1	69.9	1.79E-08	788	645	367	56	16.621	1729650	tetratricopeptide repeat protein [Planktothrix sp. PCC 11201]	Planktothrix sp. PCC 11201	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Microcoleaceae	Planktothrix								
WP_002851328.1	WP_079681335.1	58.4	6.13E-05	788	645	359	56	14.485	1729650	tetratricopeptide repeat protein [Planktothrix sp. PCC 11201]	Planktothrix sp. PCC 11201	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Microcoleaceae	Planktothrix								
WP_002851328.1	WP_103974862.1	70.3	1.79E-08	788	807	538	64	17.286	1704499	tetratricopeptide repeat protein [Methylovulum psychrotolerans]	Methylovulum psychrotolerans	cellular organisms	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum										
WP_002851328.1	WP_023065078.1	70.3	1.81E-08	788	1100	501	62	16.966	118322;1348334	tetratricopeptide repeat protein [Lyngbya aestuarii]	Lyngbya aestuarii	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Oscillatoriaceae	Lyngbya								
WP_002851328.1	WP_023065078.1	63.4	2.24E-06	788	1100	486	62	14.403	118322;1348334	tetratricopeptide repeat protein [Lyngbya aestuarii]	Lyngbya aestuarii	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Oscillatoriaceae	Lyngbya								
WP_002851328.1	WP_088592886.1	70.3	1.82E-08	788	1000	532	78	12.97	209053	tetratricopeptide repeat protein [Capnocytophaga sp. ChDC OS43]	Capnocytophaga sp. ChDC OS43	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga								
WP_002851328.1	WP_088592886.1	55.7	0.000613	788	1000	604	78	14.901	209053	tetratricopeptide repeat protein [Capnocytophaga sp. ChDC OS43]	Capnocytophaga sp. ChDC OS43	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga								
WP_002851328.1	PWJ58957.1	70.3	1.82E-08	788	1003	606	76	15.347	1082580	TolA-binding protein [Dyadobacter jejuensis]	Dyadobacter jejuensis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter								
WP_002851328.1	OQY34226.1	70.3	1.82E-08	788	982	589	69	14.092	1971727	hypothetical protein B6241_05410 [Spirochaetaceae bacterium 4572_59]	Spirochaetaceae bacterium 4572_59	cellular organisms	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	unclassified Spirochaetaceae										
WP_002851328.1	OQY34226.1	62.2	5.15E-06	788	982	570	69	15.439	1971727	hypothetical protein B6241_05410 [Spirochaetaceae bacterium 4572_59]	Spirochaetaceae bacterium 4572_59	cellular organisms	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	unclassified Spirochaetaceae										
WP_002851328.1	WP_017307204.1	69.6	1.85E-08	788	497	484	60	16.529	54311	tetratricopeptide repeat protein [Spirulina subsalsa]	Spirulina subsalsa	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Spirulinales	Spirulinaceae	Spirulina									
WP_002851328.1	KYG75053.1	70.3	1.85E-08	788	979	599	70	11.352	279360	hypothetical protein MB14_07610 [Roseivirga ehrenbergii]	Roseivirga ehrenbergii	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Roseivirga								
WP_002851328.1	KYG75053.1	56.1	0.000405	788	979	482	70	13.278	279360	hypothetical protein MB14_07610 [Roseivirga ehrenbergii]	Roseivirga ehrenbergii	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Roseivirga								
WP_002851328.1	WP_117157571.1	70.3	1.86E-08	788	1006	459	70	15.251	387659	tetratricopeptide repeat protein [Marixanthomonas ophiurae]	Marixanthomonas ophiurae	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Marixanthomonas								
WP_002851328.1	WP_117157571.1	65.7	5.1E-07	788	1006	615	70	15.61	387659	tetratricopeptide repeat protein [Marixanthomonas ophiurae]	Marixanthomonas ophiurae	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Marixanthomonas								
WP_002851328.1	WP_117157571.1	58	0.000106	788	1006	482	70	15.975	387659	tetratricopeptide repeat protein [Marixanthomonas ophiurae]	Marixanthomonas ophiurae	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Marixanthomonas								
WP_002851328.1	WP_072151193.1	70.3	1.86E-08	788	1236	515	82	15.146	1643429	tetratricopeptide repeat protein [Candidatus Kryptobacter tengchongensis]	Candidatus Kryptobacter tengchongensis	cellular organisms	Bacteria	FCB group	Candidatus Kryptonia	Candidatus Kryptobacter												
WP_002851328.1	WP_072151193.1	67.6	1.41E-07	788	1236	498	82	15.462	1643429	tetratricopeptide repeat protein [Candidatus Kryptobacter tengchongensis]	Candidatus Kryptobacter tengchongensis	cellular organisms	Bacteria	FCB group	Candidatus Kryptonia	Candidatus Kryptobacter												
WP_002851328.1	WP_072151193.1	60.3	2.48E-05	788	1236	677	82	14.328	1643429	tetratricopeptide repeat protein [Candidatus Kryptobacter tengchongensis]	Candidatus Kryptobacter tengchongensis	cellular organisms	Bacteria	FCB group	Candidatus Kryptonia	Candidatus Kryptobacter												
WP_002851328.1	WP_072151193.1	57.6	0.000157	788	1236	335	82	12.537	1643429	tetratricopeptide repeat protein [Candidatus Kryptobacter tengchongensis]	Candidatus Kryptobacter tengchongensis	cellular organisms	Bacteria	FCB group	Candidatus Kryptonia	Candidatus Kryptobacter												
WP_002851328.1	CUS78937.1	70.3	1.87E-08	788	1222	515	82	15.146	1643429	Tetratricopeptide repeat-containing protein [Candidatus Kryptobacter tengchongensis]	Candidatus Kryptobacter tengchongensis	cellular organisms	Bacteria	FCB group	Candidatus Kryptonia	Candidatus Kryptobacter												
WP_002851328.1	CUS78937.1	67.6	1.46E-07	788	1222	498	82	15.462	1643429	Tetratricopeptide repeat-containing protein [Candidatus Kryptobacter tengchongensis]	Candidatus Kryptobacter tengchongensis	cellular organisms	Bacteria	FCB group	Candidatus Kryptonia	Candidatus Kryptobacter												
WP_002851328.1	CUS78937.1	60.3	2.5E-05	788	1222	677	82	14.328	1643429	Tetratricopeptide repeat-containing protein [Candidatus Kryptobacter tengchongensis]	Candidatus Kryptobacter tengchongensis	cellular organisms	Bacteria	FCB group	Candidatus Kryptonia	Candidatus Kryptobacter												
WP_002851328.1	CUS78937.1	57.6	0.000164	788	1222	335	82	12.537	1643429	Tetratricopeptide repeat-containing protein [Candidatus Kryptobacter tengchongensis]	Candidatus Kryptobacter tengchongensis	cellular organisms	Bacteria	FCB group	Candidatus Kryptonia	Candidatus Kryptobacter												
WP_002851328.1	WP_125486558.1	69.9	1.88E-08	788	689	317	35	12.303	570835	tetratricopeptide repeat protein [Edaphobacter aggregans]	Edaphobacter aggregans	cellular organisms	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter										
WP_002851328.1	TFH01792.1	70.3	1.89E-08	788	909	497	56	16.901	2528038	tetratricopeptide repeat protein [Calditrichales bacterium]	Calditrichales bacterium	cellular organisms	Bacteria	Calditrichaeota	Calditrichae	Calditrichales	unclassified Calditrichales											
WP_002851328.1	WP_063242630.1	70.3	1.89E-08	788	928	724	86	15.608	959	tetratricopeptide repeat protein [Bdellovibrio bacteriovorus]	Bdellovibrio bacteriovorus	cellular organisms	Bacteria	Proteobacteria	Oligoflexia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio										
WP_002851328.1	PKL64087.1	70.7	1.9E-08	788	4622	560	78	15.714	2013819	hypothetical protein CVV32_10545 [Methanomicrobiales archaeon HGW-Methanomicrobiales-3]	Methanomicrobiales archaeon HGW-Methanomicrobiales-3	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanomicrobiales	unclassified Methanomicrobiales	unclassified Methanomicrobiales (miscellaneous)									
WP_002851328.1	PKL64087.1	67.6	1.69E-07	788	4622	623	78	16.372	2013819	hypothetical protein CVV32_10545 [Methanomicrobiales archaeon HGW-Methanomicrobiales-3]	Methanomicrobiales archaeon HGW-Methanomicrobiales-3	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanomicrobiales	unclassified Methanomicrobiales	unclassified Methanomicrobiales (miscellaneous)									
WP_002851328.1	PKL64087.1	64.5	1.47E-06	788	4622	640	78	15.625	2013819	hypothetical protein CVV32_10545 [Methanomicrobiales archaeon HGW-Methanomicrobiales-3]	Methanomicrobiales archaeon HGW-Methanomicrobiales-3	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanomicrobiales	unclassified Methanomicrobiales	unclassified Methanomicrobiales (miscellaneous)									
WP_002851328.1	PKL64087.1	63.8	2.63E-06	788	4622	489	78	15.133	2013819	hypothetical protein CVV32_10545 [Methanomicrobiales archaeon HGW-Methanomicrobiales-3]	Methanomicrobiales archaeon HGW-Methanomicrobiales-3	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanomicrobiales	unclassified Methanomicrobiales	unclassified Methanomicrobiales (miscellaneous)									
WP_002851328.1	PKL64087.1	61.1	1.57E-05	788	4622	600	78	15.167	2013819	hypothetical protein CVV32_10545 [Methanomicrobiales archaeon HGW-Methanomicrobiales-3]	Methanomicrobiales archaeon HGW-Methanomicrobiales-3	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanomicrobiales	unclassified Methanomicrobiales	unclassified Methanomicrobiales (miscellaneous)									
WP_002851328.1	PKL64087.1	55.7	0.000753	788	4622	630	78	13.175	2013819	hypothetical protein CVV32_10545 [Methanomicrobiales archaeon HGW-Methanomicrobiales-3]	Methanomicrobiales archaeon HGW-Methanomicrobiales-3	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanomicrobiales	unclassified Methanomicrobiales	unclassified Methanomicrobiales (miscellaneous)									
WP_002851328.1	WP_073039284.1	69.6	1.9E-08	788	566	537	67	13.035	35837;1121391	tetratricopeptide repeat protein [Desulfacinum infernum]	Desulfacinum infernum	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulfacinum									
WP_002851328.1	WP_073039284.1	62.2	3.8E-06	788	566	453	67	13.245	35837;1121391	tetratricopeptide repeat protein [Desulfacinum infernum]	Desulfacinum infernum	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulfacinum									
WP_002851328.1	TMD78999.1	69.6	1.91E-08	788	471	472	60	13.559	2026724	tetratricopeptide repeat protein [Chloroflexi bacterium]	Chloroflexi bacterium	cellular organisms	Bacteria	Terrabacteria group	Chloroflexi	unclassified Chloroflexi	unclassified Chloroflexi (miscellaneous)											
WP_002851328.1	PYU57459.1	69.9	1.93E-08	788	851	537	66	14.711	1978231	hypothetical protein DMG55_19950 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)												
WP_002851328.1	WP_116038199.1	70.3	1.93E-08	788	998	489	76	14.724	2293433	tetratricopeptide repeat protein [Rhodohalobacter sp. SW132]	Rhodohalobacter sp. SW132	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Balneolaeota	Balneolia	Balneolales	Balneolaceae	Rhodohalobacter								
WP_002851328.1	WP_116038199.1	61.9	7.04E-06	788	998	619	76	12.601	2293433	tetratricopeptide repeat protein [Rhodohalobacter sp. SW132]	Rhodohalobacter sp. SW132	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Balneolaeota	Balneolia	Balneolales	Balneolaceae	Rhodohalobacter								
WP_002851328.1	WP_116038199.1	61.1	1.36E-05	788	998	580	76	14.655	2293433	tetratricopeptide repeat protein [Rhodohalobacter sp. SW132]	Rhodohalobacter sp. SW132	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Balneolaeota	Balneolia	Balneolales	Balneolaceae	Rhodohalobacter								
WP_002851328.1	WP_091696894.1	70.3	1.93E-08	788	1001	628	61	14.65	305507	tetratricopeptide repeat protein [Algoriphagus locisalis]	Algoriphagus locisalis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus								
WP_002851328.1	WP_118417833.1	70.3	1.93E-08	788	1003	554	64	13.899	818	tetratricopeptide repeat protein [Bacteroides thetaiotaomicron]	Bacteroides thetaiotaomicron	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides								
WP_002851328.1	WP_118417833.1	59.9	3E-05	788	1003	344	64	12.5	818	tetratricopeptide repeat protein [Bacteroides thetaiotaomicron]	Bacteroides thetaiotaomicron	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides								
WP_002851328.1	WP_020676398.1	69.9	1.95E-08	788	885	562	60	15.658	225196	PEP-CTERM system TPR-repeat protein PrsT [Geopsychrobacter electrodiphilus]	Geopsychrobacter electrodiphilus	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geopsychrobacter									
WP_002851328.1	PYQ01760.1	70.3	1.96E-08	788	1010	522	62	15.517	1978231	hypothetical protein DMF82_18380 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)												
WP_002851328.1	RKY60389.1	69.6	1.96E-08	788	513	543	64	13.996	2053570	hypothetical protein DRP94_00615 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria												
WP_002851328.1	OGV57686.1	69.9	1.96E-08	788	854	538	65	15.799	1798578	hypothetical protein A2283_03110 [Lentisphaerae bacterium RIFOXYA12_FULL_48_11]	Lentisphaerae bacterium RIFOXYA12_FULL_48_11	cellular organisms	Bacteria	PVC group	Lentisphaerae	unclassified Lentisphaerae	unclassified Lentisphaerae (miscellaneous)											
WP_002851328.1	WP_018279343.1	70.3	1.98E-08	788	1002	496	65	15.323	28189	tetratricopeptide repeat protein [Capnocytophaga cynodegmi]	Capnocytophaga cynodegmi	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga								
WP_002851328.1	WP_018279343.1	58	0.000107	788	1002	574	65	15.679	28189	tetratricopeptide repeat protein [Capnocytophaga cynodegmi]	Capnocytophaga cynodegmi	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga								
WP_002851328.1	RKV88216.1	70.3	1.99E-08	788	1007	534	67	12.547	1898104	outer membrane protein assembly factor BamD [Bacteroidetes bacterium]	Bacteroidetes bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes (miscellaneous)										
WP_002851328.1	RKV88216.1	64.5	9.42E-07	788	1007	448	67	12.946	1898104	outer membrane protein assembly factor BamD [Bacteroidetes bacterium]	Bacteroidetes bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes (miscellaneous)										
WP_002851328.1	RKV88216.1	56.5	0.000316	788	1007	251	67	15.139	1898104	outer membrane protein assembly factor BamD [Bacteroidetes bacterium]	Bacteroidetes bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	unclassified Bacteroidetes	unclassified Bacteroidetes (miscellaneous)										
WP_002851328.1	RLA98534.1	69.6	1.99E-08	788	590	499	59	15.03	2026735	hypothetical protein DRG32_01175 [Deltaproteobacteria bacterium]	Deltaproteobacteria bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)										
WP_002851328.1	XP_028398107.1	70.3	2E-08	788	1212	556	66	14.928	151771	tetratricopeptide repeat protein 28-like [Dendronephthya gigantea]	Dendronephthya gigantea	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Cnidaria	Anthozoa	Octocorallia	Alcyonacea	Alcyoniina	Nephtheidae	Dendronephthya					
WP_002851328.1	XP_028398107.1	64.5	1.1E-06	788	1212	592	66	14.527	151771	tetratricopeptide repeat protein 28-like [Dendronephthya gigantea]	Dendronephthya gigantea	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Cnidaria	Anthozoa	Octocorallia	Alcyonacea	Alcyoniina	Nephtheidae	Dendronephthya					
WP_002851328.1	RKW19319.1	69.6	2.02E-08	788	487	500	66	11.4	44737	hypothetical protein D8H93_00400, partial [Capnocytophaga sp.]	Capnocytophaga sp.	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga								
WP_002851328.1	RKW19319.1	56.1	0.000302	788	487	444	66	12.387	44737	hypothetical protein D8H93_00400, partial [Capnocytophaga sp.]	Capnocytophaga sp.	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga								
WP_002851328.1	WP_120275852.1	70.3	2.02E-08	788	1031	461	71	16.486	1261403	tetratricopeptide repeat protein [Mangrovibacterium diazotrophicum]	Mangrovibacterium diazotrophicum	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Mangrovibacterium								
WP_002851328.1	WP_120275852.1	63.4	2.69E-06	788	1031	514	71	13.813	1261403	tetratricopeptide repeat protein [Mangrovibacterium diazotrophicum]	Mangrovibacterium diazotrophicum	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Mangrovibacterium								
WP_002851328.1	WP_120275852.1	61.9	7.11E-06	788	1031	488	71	14.344	1261403	tetratricopeptide repeat protein [Mangrovibacterium diazotrophicum]	Mangrovibacterium diazotrophicum	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Mangrovibacterium								
WP_002851328.1	WP_053827242.1	69.9	2.03E-08	788	996	529	78	16.446	1627894	tetratricopeptide repeat protein [Lascolabacillus massiliensis]	Lascolabacillus massiliensis	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Lascolabacillus								
